Insertion
    Nombre records:   100000
    Nombre de succes: 100000
    Temps:            14 (ms) 

Recherche
    nb        temps
   1000        57.44 (ns) 
   2000        61.87 (ns) 
   3000        59.80 (ns) 
   4000        58.59 (ns) 
   5000        57.64 (ns) 
   6000        57.09 (ns) 
   7000        56.66 (ns) 
   8000        64.07 (ns) 
   9000        63.26 (ns) 
  10000        62.52 (ns) 
  11000        63.39 (ns) 
  12000        62.54 (ns) 
  13000        61.84 (ns) 
  14000        61.20 (ns) 
  15000        60.65 (ns) 
  16000        60.17 (ns) 
  17000        59.76 (ns) 
  18000        61.27 (ns) 
  19000        60.89 (ns) 
  20000        60.49 (ns) 
  21000        60.13 (ns) 
  22000        59.83 (ns) 
  23000        59.46 (ns) 
  24000        59.15 (ns) 
  25000        59.61 (ns) 
  26000        59.27 (ns) 
  27000        58.97 (ns) 
  28000        59.43 (ns) 
  29000        61.05 (ns) 
  30000        60.82 (ns) 
  31000        60.57 (ns) 
  32000        60.27 (ns) 
  33000        60.04 (ns) 
  34000        59.87 (ns) 
  35000        59.64 (ns) 
  36000        59.45 (ns) 
  37000        59.30 (ns) 
  38000        59.16 (ns) 
  39000        59.86 (ns) 
  40000        59.73 (ns) 
  41000        59.57 (ns) 
  42000        59.41 (ns) 
  43000        59.27 (ns) 
  44000        59.10 (ns) 
  45000        58.97 (ns) 
  46000        58.89 (ns) 
  47000        58.81 (ns) 
  48000        58.70 (ns) 
  49000        59.12 (ns) 
  50000        60.04 (ns) 
  51000        59.99 (ns) 
  52000        60.24 (ns) 
  53000        60.15 (ns) 
  54000        60.04 (ns) 
  55000        59.98 (ns) 
  56000        59.91 (ns) 
  57000        59.86 (ns) 
  58000        59.79 (ns) 
  59000        60.10 (ns) 
  60000        60.02 (ns) 
  61000        59.96 (ns) 
  62000        59.90 (ns) 
  63000        59.88 (ns) 
  64000        59.82 (ns) 
  65000        60.11 (ns) 
  66000        60.09 (ns) 
  67000        60.02 (ns) 
  68000        59.98 (ns) 
  69000        63.71 (ns) 
  70000        63.70 (ns) 
  71000        63.64 (ns) 
  72000        63.60 (ns) 
  73000        63.60 (ns) 
  74000        76.00 (ns) 
  75000        75.98 (ns) 
  76000        75.98 (ns) 
  77000        76.10 (ns) 
  78000        77.06 (ns) 
  79000        77.24 (ns) 
  80000        77.11 (ns) 
  81000        77.03 (ns) 
  82000        76.99 (ns) 
  83000        76.90 (ns) 
  84000        76.78 (ns) 
  85000        76.68 (ns) 
  86000        77.87 (ns) 
  87000        79.48 (ns) 
  88000        80.59 (ns) 
  89000        82.31 (ns) 
  90000        82.97 (ns) 
  91000        83.47 (ns) 
  92000        83.38 (ns) 
  93000        85.64 (ns) 
  94000        86.73 (ns) 
  95000        86.94 (ns) 
  96000        86.87 (ns) 
  97000        87.00 (ns) 
  98000        87.13 (ns) 
  99000        86.99 (ns) 
 100000        86.85 (ns) 
