Insertion
    Nombre records:   100000
    Nombre de succes: 100000
    Temps:            14 (ms) 

Recherche
    nb        temps
   1000        81.22 (ns) 
   2000        85.89 (ns) 
   3000        78.98 (ns) 
   4000        85.40 (ns) 
   5000        92.42 (ns) 
   6000        92.88 (ns) 
   7000        94.96 (ns) 
   8000        98.73 (ns) 
   9000       117.51 (ns) 
  10000       125.55 (ns) 
  11000       120.74 (ns) 
  12000       116.29 (ns) 
  13000       111.93 (ns) 
  14000       108.07 (ns) 
  15000       109.13 (ns) 
  16000       108.26 (ns) 
  17000       105.52 (ns) 
  18000       103.03 (ns) 
  19000       100.62 (ns) 
  20000        98.59 (ns) 
  21000        96.72 (ns) 
  22000        94.96 (ns) 
  23000        93.38 (ns) 
  24000        94.20 (ns) 
  25000        92.96 (ns) 
  26000        93.70 (ns) 
  27000        93.20 (ns) 
  28000        91.96 (ns) 
  29000        91.70 (ns) 
  30000        90.79 (ns) 
  31000        94.67 (ns) 
  32000        97.51 (ns) 
  33000        98.38 (ns) 
  34000       100.76 (ns) 
  35000       103.27 (ns) 
  36000       107.53 (ns) 
  37000       111.24 (ns) 
  38000       114.74 (ns) 
  39000       114.85 (ns) 
  40000       114.60 (ns) 
  41000       117.10 (ns) 
  42000       117.00 (ns) 
  43000       117.03 (ns) 
  44000       117.48 (ns) 
  45000       122.64 (ns) 
  46000       124.91 (ns) 
  47000       126.59 (ns) 
  48000       126.03 (ns) 
  49000       124.96 (ns) 
  50000       123.96 (ns) 
  51000       122.97 (ns) 
  52000       122.12 (ns) 
  53000       121.62 (ns) 
  54000       122.62 (ns) 
  55000       122.52 (ns) 
  56000       121.83 (ns) 
  57000       121.00 (ns) 
  58000       120.13 (ns) 
  59000       119.26 (ns) 
  60000       119.53 (ns) 
  61000       118.73 (ns) 
  62000       118.21 (ns) 
  63000       117.47 (ns) 
  64000       116.71 (ns) 
  65000       115.99 (ns) 
  66000       115.32 (ns) 
  67000       114.72 (ns) 
  68000       115.32 (ns) 
  69000       114.85 (ns) 
  70000       114.19 (ns) 
  71000       113.55 (ns) 
  72000       113.16 (ns) 
  73000       112.55 (ns) 
  74000       112.44 (ns) 
  75000       112.07 (ns) 
  76000       111.50 (ns) 
  77000       110.87 (ns) 
  78000       110.31 (ns) 
  79000       109.69 (ns) 
  80000       109.11 (ns) 
  81000       108.55 (ns) 
  82000       108.01 (ns) 
  83000       108.75 (ns) 
  84000       108.26 (ns) 
  85000       107.73 (ns) 
  86000       107.23 (ns) 
  87000       106.71 (ns) 
  88000       106.21 (ns) 
  89000       105.72 (ns) 
  90000       105.25 (ns) 
  91000       104.91 (ns) 
  92000       105.24 (ns) 
  93000       105.21 (ns) 
  94000       105.23 (ns) 
  95000       105.24 (ns) 
  96000       104.81 (ns) 
  97000       104.42 (ns) 
  98000       105.14 (ns) 
  99000       105.20 (ns) 
 100000       105.31 (ns) 
