Insertion
    Nombre records:   100000
    Nombre de succes: 100000
    Temps:            16 (ms) 

Recherche
    nb        temps
   1000        78.52 (ns) 
   2000        73.23 (ns) 
   3000        67.97 (ns) 
   4000        64.93 (ns) 
   5000        62.95 (ns) 
   6000        61.80 (ns) 
   7000        60.86 (ns) 
   8000        64.05 (ns) 
   9000        63.33 (ns) 
  10000        62.47 (ns) 
  11000        61.69 (ns) 
  12000        61.07 (ns) 
  13000        60.72 (ns) 
  14000        61.49 (ns) 
  15000        61.05 (ns) 
  16000        60.61 (ns) 
  17000        60.36 (ns) 
  18000        61.03 (ns) 
  19000        63.41 (ns) 
  20000        63.08 (ns) 
  21000        62.75 (ns) 
  22000        62.42 (ns) 
  23000        62.15 (ns) 
  24000        61.81 (ns) 
  25000        61.54 (ns) 
  26000        61.34 (ns) 
  27000        61.81 (ns) 
  28000        62.81 (ns) 
  29000        62.72 (ns) 
  30000        62.50 (ns) 
  31000        62.35 (ns) 
  32000        62.11 (ns) 
  33000        61.92 (ns) 
  34000        61.75 (ns) 
  35000        61.53 (ns) 
  36000        61.37 (ns) 
  37000        61.19 (ns) 
  38000        62.28 (ns) 
  39000        63.40 (ns) 
  40000        63.28 (ns) 
  41000        63.09 (ns) 
  42000        62.91 (ns) 
  43000        62.72 (ns) 
  44000        62.53 (ns) 
  45000        62.37 (ns) 
  46000        62.25 (ns) 
  47000        62.88 (ns) 
  48000        62.83 (ns) 
  49000        62.72 (ns) 
  50000        62.58 (ns) 
  51000        62.51 (ns) 
  52000        62.78 (ns) 
  53000        62.71 (ns) 
  54000        62.65 (ns) 
  55000        62.55 (ns) 
  56000        62.47 (ns) 
  57000        63.45 (ns) 
  58000        63.67 (ns) 
  59000        63.57 (ns) 
  60000        63.46 (ns) 
  61000        63.36 (ns) 
  62000        63.28 (ns) 
  63000        63.19 (ns) 
  64000        63.33 (ns) 
  65000        63.33 (ns) 
  66000        63.54 (ns) 
  67000        63.48 (ns) 
  68000        63.40 (ns) 
  69000        63.32 (ns) 
  70000        63.26 (ns) 
  71000        63.20 (ns) 
  72000        63.14 (ns) 
  73000        63.51 (ns) 
  74000        65.69 (ns) 
  75000        66.47 (ns) 
  76000        66.96 (ns) 
  77000        67.41 (ns) 
  78000        67.42 (ns) 
  79000        67.39 (ns) 
  80000        67.72 (ns) 
  81000        67.72 (ns) 
  82000        67.96 (ns) 
  83000        68.36 (ns) 
  84000        68.30 (ns) 
  85000        68.23 (ns) 
  86000        68.15 (ns) 
  87000        68.06 (ns) 
  88000        68.75 (ns) 
  89000        68.92 (ns) 
  90000        68.85 (ns) 
  91000        68.75 (ns) 
  92000        68.65 (ns) 
  93000        68.56 (ns) 
  94000        68.48 (ns) 
  95000        68.55 (ns) 
  96000        68.45 (ns) 
  97000        68.67 (ns) 
  98000        68.60 (ns) 
  99000        68.53 (ns) 
 100000        68.45 (ns) 
